"sightingId","trainId","detectionTimeSensorLocal","direction","trainType","speedMph","trainOperator","estGallonageCapacity","estLengthFeet","warnings","issues"
1959160,951732,"2024-08-16T04:53:00.909-04:00[America/New_York]","Westbound","Intermodal",54.9161948132745,"NS",NA,12297.2542735043,"[]","[]"
1959305,951789,"2024-08-16T05:55:19.229-04:00[America/New_York]","Westbound","Manifest",34.4093426046541,"NS",741841.153846154,9884.55754635468,"[]","[]"
1959354,951860,"2024-08-16T06:16:52.129-04:00[America/New_York]","Eastbound","Manifest",61.0621821276442,"NS",419260.714285714,5445.00629308963,"[]","[]"
1959416,951859,"2024-08-16T06:47:07.826-04:00[America/New_York]","Westbound","Automotive",56.9957291525659,"NS",NA,4567.1037037037,"[]","[]"
1959593,951978,"2024-08-16T08:01:03.331-04:00[America/New_York]","Eastbound","Intermodal",62.2726756261058,"NS",NA,5122.07183908046,"[]","[]"
1959820,952089,"2024-08-16T09:36:01.644-04:00[America/New_York]","Eastbound","Intermodal",38.9349769479809,"NS",NA,10454.5988700565,"[]","[]"
1959864,952118,"2024-08-16T09:48:13.05-04:00[America/New_York]","Eastbound","Manifest",24.0208527890192,"NS",931184,5966.97142857143,"[]","[]"
1959883,952125,"2024-08-16T10:04:21.674-04:00[America/New_York]","Eastbound","Intermodal",52.2891522230316,"NS",NA,2208.91666666667,"[]","[]"
1960083,952198,"2024-08-16T11:02:56.751-04:00[America/New_York]","Westbound","Manifest",41.153828450997,"NS",1394199.75,8491.17496400037,"[]","[]"
1960120,952199,"2024-08-16T11:15:04.061-04:00[America/New_York]","Westbound","Manifest",32.8600772999029,"NS",515477.217391304,3884.53049516908,"[]","[]"
1960129,952256,"2024-08-16T11:20:14.345-04:00[America/New_York]","Eastbound","Manifest",60.1309470746252,"NS",178901,4884,"[]","[]"
1960372,952334,"2024-08-16T12:41:09.152-04:00[America/New_York]","Westbound","Intermodal",47.0078206566508,"NS",NA,10715.6602564103,"[]","[]"
1960482,952377,"2024-08-16T13:25:36.852-04:00[America/New_York]","Westbound","Intermodal",48.3584358140617,"NS",NA,7975.94761904762,"[]","[]"
1960519,952432,"2024-08-16T13:29:53.659-04:00[America/New_York]","Eastbound","Manifest",34.7129431638755,"NS",1391176.35416667,14382.9146660053,"[]","[]"
1960674,952502,"2024-08-16T14:32:07.059-04:00[America/New_York]","Eastbound","Manifest",36.1076288097966,"NS",459310,10519.4149206349,"[]","[]"
1960893,952575,"2024-08-16T15:54:24.78-04:00[America/New_York]","Westbound","Manifest",19.0362536548492,"NS",752934,10055.9941069574,"[]","[]"
1960914,952613,"2024-08-16T16:13:16.46-04:00[America/New_York]","Eastbound","Intermodal",66.3470029394765,"NS",NA,10424.8732486152,"[]","[]"
1960942,952626,"2024-08-16T16:27:17.615-04:00[America/New_York]","Eastbound","Intermodal",72.8356064466599,"NS",NA,6938.9552238806,"[]","[]"
