,Title,Accident_x0020_Date,Geolocation_x0020_Latitude,Geolocation_x0020_Longitude,NSTB_x0020_Investigation_x0020_Status,NTSB_x0020_Title,Executive_x0020_Summary,Probable_x0020_Cause,AccidentContent,AccidentCount,AccidentHeader,DisclaimerContent,WhatHappened,WhatWeFound,WhatWeRecommended,IIC,LessonsLearned,Waterway,InvestigativeDetailVideo1,InvestigativeDetailVideo2,InvestigativeDetailVideo3,InvestigativeDetailVideo4,InvestigativeDetailVideo1Title,InvestigativeDetailVideo2Title,InvestigativeDetailVideo3Title,InvestigativeDetailVideo4Title,RelatedSafetyAlert,RelatedRecommendations,RelatedReports
0,Norfolk Southern Railway Conductor Injury,2025-04-09T04:00:00Z,34.7172386,-87.617573,Open,,,,,,,,"<p><em>​This information is preliminary and subject to change.&#160;</em><br></p><p>​On April 9, 2025, about 1&#58;15 p.m. local time, a Norfolk Southern Railway (NS) conductor on yard job AH-01 was seriously injured while performing switching operations at NS’s Sheffield Yard in Muscle Shoals, Alabama.[1] The conductor was found on the north side of track 5 at the east end of the receiving yard with severe injuries to his lower legs.[2] (See figure.) The Sheffield Yard supervisor called 911; emergency medical services arrived on the scene and airlifted the conductor to the University of Alabama at Birmingham Medical Center, where he was admitted for treatment of his injuries. Visibility conditions at the time of the accident were daylight and clear; the weather was 63°F with no precipitation.<br></p><p>​The crew of yard job AH-01 consisted of an engineer and a conductor. At the time of the accident, the crew was using 2 locomotives to pull a cut of 55 mixed freight railcars out of track 5 of the receiving yard toward the hump lead track of Sheffield Yard.[3] The crew were preparing to switch 32 railcars at the front end of the cut of railcars onto track 4 of the receiving yard. The receiving yard had an eastward ascending grade toward the hump lead track. The engineer was in the lead locomotive and the conductor was on the ground giving instructions to the engineer through his radio. To perform the switching movement, the conductor needed to secure the 33rd railcar, which was a hopper car, by applying the hand brake located at the rear of the railcar.[4] Then, the conductor would have uncoupled the 32nd railcar from the 33rd railcar to facilitate the switching movement.[5] ​<br></p><p>At the time of the accident, the engineer had moved the cut of railcars about 2,600 feet east when the conductor instructed the engineer to stop. The engineer stopped at 1&#58;14&#58;48 p.m. At 1&#58;15&#58;15 p.m., the conductor called for help through his radio. The engineer as well as employees in the yard tower at Sheffield Yard heard the conductor’s call for help. Employees at Sheffield Yard found the conductor on the north side of track 5 near the hopper car, where they observed that the hand brake on the hopper car was partially applied.<br></p><p>While on scene, National Transportation Safety Board investigators examined the track at the accident site, inspected the hopper car and tested the hand brake on the hopper car, reviewed data from the locomotive event recorder and radio communications between the conductor and the engineer, and completed interviews. </p><p>The NTSB’s investigation is ongoing. Future investigative activity will focus on NS’s operation of Sheffield Yard, including switching procedures and oversight of employees. </p><p>Parties to the investigation include&#58;</p><p></p><ul><li>​the Federal Railroad Administration;&#160;</li><li>NS;&#160;</li><li>the Brotherhood of Locomotive Engineers and Trainmen; and&#160;</li><li>the International Association of Sheet Metal, Air, Rail and Transportation Workers.<br></li><hr /></ul>[1] (a) All times in this report are local times. (b) Switching is moving railcars from one track to another track or to different positions on the same track.<div>​[2] A <em>receiving yard</em> is a rail yard where freight railcars are detached from their locomotives, inspected for mechanical problems, and sent to a classification yard.​<br></div><div>​[3] A <em>lead track</em> connects one or more yard tracks to other yard tracks. The lead track at Sheffield Yard is referred to as a hump lead track because Sheffield Yard functioned as a hump yard until 2009. A hump yard uses gravity and a hump (or a hill) to sort and classify freight railcars.</div><div>​[4] (a) A <em>hopper car</em> is a freight railcar that is used to transport dry bulk commodities such as grain. (b) A hand brake in a railcar is used to apply the brakes manually.</div><div>​[5] Railcars are <em>uncoupled</em> or separated by manually opening the mechanical device located at each end of the railcar.<br><br></div>",,,,,,,,,,,,,,,,
1,American Auto Works Railroad Fatality,2025-04-04T04:00:00Z,37.922482,-122.376079,Open,,,,,,,,"<p><em>​​This information is preliminary and subject to change.</em></p><p></p><p>​On April 4, 2025, about 9&#58;17 a.m. local time, an American Auto Works (AAW) ConGlobal-3 (CG-3) conductor was killed during switching operations as part of yard job switching crew at the BNSF Automotive Distribution Facility, located on the BNSF Stockton Subdivision in Richmond, California. [1] The CG-3 switching crew was performing a shoving movement with two locomotives and five railcars on yard track 405, when the conductor became pinned between two railcars that the switching crew was attempting to couple. (See figure.) Visibility conditions at the time of the accident were clear with no precipitation; the temperature was 57°F.</p><p>The CG-3 switching crew consisted of a conductor, a brakeman, and an engineer. Shortly before the accident, the switching crew shoved eight railcars onto track 406 and were planning to shove the remaining five railcars onto track 405. At the time of the accident, the engineer was operating the lead locomotive shoving north on track 405 and the brakeman was positioned on the ground at the switch to enter track 405. The conductor was located on the ground between tracks 405 and 406. The conductor was directing the movement on track 405 and communicating by radio with the engineer. After a short period transpired without radio communication from the conductor, the engineer stopped the train while the brakeman searched for the conductor. The brakeman found the conductor between the fifth (last) railcar being shoved and the railcar they were attempting to couple to the fifth car.<br></p><p></p><p>​The couplers were bypassed (not aligned to permit a coupling to occur – also known as mismatched couplers) and National Transportation Safety Board (NTSB) investigators’ preliminary review of radio communications indicated that at no time during the sequence of events were there any announcements by the conductor to go in between equipment or separate 50 feet to fix mismatched couplers.[2]&#160;</p><p>While on scene, NTSB investigators inspected the railcars involved in the accident; examined conditions of track 405; reviewed surveillance video footage and radio communications; retrieved the event recorder of lead locomotive 515; conducted a reenactment of the accident; reviewed crew training history and AAW training programs; company policies and procedures; and conducted interviews.&#160;</p><p>The investigation is ongoing. Future investigative activity will focus on crew communications; human performance; rules compliance; internal and external safety oversight; and operating procedures.</p><p>Parties to the investigation include&#58;</p><p></p><ul><li>​the Federal Railroad Administration;&#160;</li><li>California Public Utilities Commission; and&#160;</li><li>ConGlobal.<br></li></ul><p></p><hr />
[1]  ITS Technologies and Logistics, LLC and American Auto Works, LLC (both doing business as 
ConGlobal) operate with about 150 switching personnel across 8 multistate locations, providing 
switching services for both intermodal and automotive freight. Of these locations, four are regulated 
by the Federal Railroad Administration.<br><div>[2] <em>Bypassed couplers</em> means the coupler knuckles are not properly aligned, and the railcars cannot be coupled.</div>",,,,,,,,,,,,,,,,
2,Hulcher Services Inc. Employee Injury,2025-03-11T04:00:00Z,37.947892,-121.334052,Open,,,,,,,,"<em>This information is preliminary and subject to change.</em> 
<div> 
   <i>
      <br></i>
   <em></em>
   <p>​​On March 11, 2025, about 3&#58;03 p.m. local time, a Hulcher Services Inc. employee was seriously injured during a railcar rerailing operation at the Port of Stockton in Stockton, California.[1] At the time of the accident, the injured employee was part of an eight-member crew tasked with re-railing four railcars that had derailed at a switch on Track-840 the day prior. The injured employee was working with a rubber tire loader (loader) to move a previously re-railed car when he was struck and momentarily pinned between the end of the railcar and the loader. (See figure.) The employee was seriously injured, suffering internal injuries. At the time of this report, damage estimates were still being determined. Visibility conditions at the time of the accident were clear, unobstructed, and sunny. The weather was 69°F with no precipitation.<br></p><p>​Before the accident, the Central California Traction Company Railroad—the contract railroad company that performs industrial switching for the Port of Stockton—hired Hulcher Services to re-rail four railcars that had derailed at a switch on Track-840 on March 10, 2025, at about 7&#58;00 pm; the injured employee was one of eight Hulcher Services employees assigned to the task.<br></p><p>At the time of the accident, the injured employee was working with the loader to move a previously re-railed car to the west on Track-840 to make room for the rerailing of the fourth and final derailed car. The injured employee chained the loader to the knuckle of the railcar and signaled for the loader operator to back up leaving about 6 feet between the railcar and the loader. He then stepped between the equipment and operated the quick release lever on the hand brake of the railcar. Upon releasing the hand brake, the railcar began rolling west toward the loader. The injured employee was still between the equipment attempting to engage the hand brake on the railcar as it collided with the loader, striking and pinning the employee between the end of the railcar and the loader. The injured employee was transported to a nearby hospital by emergency services where he was diagnosed with six broken ribs and a collapsed lung; he was released several days later. ​<br></p><p>While on scene, National Transportation Safety Board investigators completed interviews and examined railroad equipment, the rubber tire loader, and Port of Stockton security video footage. </p><p>The National Transportation Safety Board’s investigation is ongoing. Future investigative activity will focus on Hulcher Services’ training, written standard operation procedures, and safety documents. </p><p>Parties to the investigation include&#58;</p><p></p><ul><li>the Federal Railroad Administration,&#160;</li><li>Hulcher Services,&#160;</li><li>Operating Engineers Local 3, and&#160;</li><li>the Central California Traction Company.<br></li></ul></div><hr />​[1] All times in this report are local.",,,,,,,,,,,,,,,,
3,Massachusetts Bay Transportation Authority Collision of Two Light Rail Trains with Derailment,2025-02-09T05:00:00Z,42.379485,-71.086638,Open,,,,,,,,"<em>​​​​​​​​​​​​​This information is preliminary and subject to change.</em> 
<p></p><p>​On February 9, 2025, about 12&#58;22 a.m. local time, westbound Massachusetts Bay Transportation Authority (MBTA) light rail train 3840-3698 (striking train), collided with the stationary MBTA light rail train 3851-3663 (out-of-service train), damaging four cars and derailing one car on each train at East Somerville Station in Somerville, Massachusetts. [1] (See figure.) There were two crewmembers and six passengers on the striking train and two crewmembers on the out-of-service train. Two passengers and four crew members sustained non-life-threatening injuries. MBTA estimated damages to equipment to be about $6.6 million. Visibility conditions at the time of the accident were dark and snowing; the temperature was 26°F.&#160; &#160; &#160; &#160;&#160; ​<br></p><p>​The crew of each train included one streetcar motorperson (SCMP) operating the train from the lead (west) end cab of the lead car, and one SCMP in the west end cab of the second, trailing car. The accident site had two main tracks on opposite sides of the passenger platform at the station. Each train consisted of two cars coupled together, and both were operating on the Green Line E. Train movements were authorized by signal indication and coordinated from MBTA’s Operations Control Center located in Boston.</p><p>Shortly before the accident, the striking train departed Medford/Tufts Station and made three station stops without incident before approaching East Somerville Station, where the out-of-service train was stopped awaiting routing into MBTA's Inner Belt Yard. A preliminary review of event recorder and signal data indicates the striking train was traveling about 32 mph when it entered a 25-mph zone, passed a red (stop) signal and entered the 10-mph zone in the station where it collided with the stationary out-of-service train.</p><p>While on scene, National Transportation Safety Board (NTSB) investigators examined the track conditions and signal system; performed mechanical evaluations; retrieved and reviewed data from the event recorder, surveillance cameras, radio ​communication recordings, and signal logs; and conducted interviews.</p><p>The NTSB’s investigation is ongoing. Future investigative activity will focus on vehicle crashworthiness; human performance; internal and external safety oversight; and operating procedures.</p><p>Parties to the investigation include&#58;</p><p></p><ul><li>the Federal Transit Administration;&#160;</li><li>the Massachusetts Department of Transportation;&#160;</li><li>the Massachusetts Department of Public Utilities;&#160;</li><li>MBTA; and&#160;</li><li>the Boston Carmen’s Union, Local 589.<br></li></ul><hr />[1]&#160;All times in this report are local times. <br>",,,,,,,,,,,,,,,,
4,Southeastern Pennsylvania Transportation Authority Train Fire and Passenger Evacuation,2025-02-06T05:00:00Z,39.871201,-75.33143,Open,,,,,,,,"<p><em>​​​​​​​​​​​​​This information is preliminary and subject to change.​</em><br></p><p>​On February 6, 2025, about 5&#58;56 p.m. local time, the lead railcar (railcar 132) of Southeastern Pennsylvania Transportation Authority (SEPTA) Regional Rail train 3223 caught fire as the train departed Crum Lynne Station in Ridley Park, Pennsylvania.[1] (See figure.) Train 3223 was traveling from West Trenton, New Jersey, to Newark, Delaware. There were about 325 passengers and 4 crew members on board the train. There were no injuries or fatalities. SEPTA estimated damages to equipment to be about $10 million. Visibility conditions at the time of the accident were overcast with light mist; the temperature was 37°F.<br></p><p>​The accident site had four main tracks and train 3223 was traveling on main track 4. Train 3223 consisted of 6 railcars.[2] The lead railcar (railcar 132) was followed by railcar 131, and railcar 288 was the rear railcar. About 4&#58;55 p.m., there was a change of crew at Suburban Station, where crew 404 handed the train over to crew 462 (the crew operating the train at the time of the accident). Crew 462 consisted of an engineer, a conductor, an assistant conductor, and a conductor trainee.<br></p><p>On the day of the accident, about 3&#58;50 p.m., when the train was at Bethayres Station, the engineer of crew 404 contacted SEPTA’s Regional Rail Operations Control Center (RROCC) in Philadelphia and informed the dispatcher that the train was sluggish and not getting up to speed, and that a fault light on the train was on.[3] The dispatcher arranged for a mechanical maintenance team to inspect the train on the main track near SEPTA’s Roberts Yard.[4] About 4&#58;31 p.m., the mechanical maintenance team completed their inspection and contacted the superintendent of train operations at the RROCC and reported that three railcars (132, 131, and 288) were “bad” and causing the slow acceleration of the train. However, the train continued to operate. About 5&#58;07 p.m., when the train was at 30th Street Station, the engineer of crew 462 received a call from SEPTA’s chief dispatcher at the RROCC. The engineer reported that there was a strong burning smell in the lead railcar. The train still continued to operate en route.<br></p><p>Shortly before the accident, about 5&#58;48 p.m., as the train reached Crum Lynne Station, the engineer noticed haze behind the lead railcar. As the train departed Crum Lynne Station, the engineer saw smoke behind the lead railcar and stopped the train about 638 feet south of Crum Lynne Station. The engineer stepped down to inspect the train and, about 5&#58;56 p.m., reported that the lead railcar was on fire.[5] The crew lowered the pantograph on the train and moved passengers to the rear railcars of the train.[6] The crew then established track protection on the adjacent track (main track 3) and evacuated the passengers through the rear of the train. Evacuation was complete about 6&#58;22 p.m. and the fire was extinguished about 8&#58;09 p.m.<br></p><p>While on scene, National Transportation Safety Board investigators examined railroad equipment and track conditions, reviewed data from surveillance cameras and the lead railcar’s event recorder, reviewed radio communications from train 3223, retrieved the inward-facing and outward-facing image recorders in the lead railcar for further investigation, and completed interviews. </p><p>The National Transportation Safety Board’s investigation is ongoing. Future investigative activity will focus on identifying the source of the fire; inspecting the electrical wiring in the railcars; evaluating SEPTA’s railcar inspection, maintenance, and repair process; and the RROCC’s response to en route train failures. </p><p>Parties to the investigation include&#58;&#160;</p><ul><li>​the Federal Railroad Administration;&#160;</li><li>SEPTA;&#160;</li><li>Amtrak;&#160;</li><li>the Brotherhood of Locomotive Engineers and Trainmen; and&#160;</li><li>the International Association of Sheet Metal, Air, Rail and Transportation Workers.</li></ul><hr />
[1] All times in this report are local times.&#160;<div>[2]&#160;The railcars belonged to the Silverliner IV fleet.&#160;</div><div>[3] Conversations between the engineers of train 3223 and the RROCC are all from the RROCC’s audio recordings.&#160;</div><div>[4] <em>Roberts Yard</em> is located south of Wayne Junction, which was on the train’s route to Crum Lynne Station.&#160;</div><div>[5] The engineer called the Amtrak Consolidated National Operations Center in Wilmington, Delaware, from where train movements at Crum Lynne Station are coordinated.&#160;</div><div>[6] A<em> pantograph</em> is the electrical equipment installed on the roof of trains to obtain electrical energy from an overhead power line.<br></div>",,,,,,,,,,,,,,,,
5,Union Pacific Railroad Train Collision with Combination Vehicle,2024-12-18T05:00:00Z,31.428143,-103.495464,Open,,,,,,,,"<em>T​his information is preliminary and subject to change.</em><br>​
<p></p><p>​On December 18, 2024, about 5&#58;00 p.m. local time, westbound Union Pacific Railroad (UP) train ZAILA-18 derailed after colliding with a northbound highway vehicle that was traversing the Cedar Street (or US Route 285) highway-railroad grade crossing in Pecos, Texas. Train ZAILA-18 struck a 2015 Peterbilt truck-tractor in combination with a 2016 Scheuerle hydraulic platform semitrailer (a combination vehicle) operated by Boss Heavy Haul LLC and transporting an oversize load. As a result of the collision, the 4 head-end locomotives and the first 11 railcars derailed, and the derailed locomotives released about 9,000 gallons of locomotive diesel fuel into the ground. The collision displaced the combination vehicle’s load, which struck a municipal building. The engineer and the conductor of train ZAILA-18 were fatally injured; three bystanders were transported to a local hospital, treated for minor injuries, and released. UP estimated damages to signals, equipment, and track to be about $4 million; Boss Heavy Haul LLC estimated damages to the combination vehicle and the load to be about $2.2 million.[1]  At the time of the accident, visibility was clear; the weather was 55°F with no precipitation.<br></p><p>​Train ZAILA-18, crewed by an engineer and a conductor, was traveling from Shreveport, Louisiana, to Los Angeles, California. The train consisted of 4 locomotives and 47 intermodal railcars.[2] The consist included seven intermodal shipping containers carrying hazardous materials.[3] These containers did not breach or release hazardous materials. ​​<br></p><p>The combination vehicle was traveling from Houston, Texas, to Mentone, Texas.[4]  A single driver operated the combination vehicle, which was escorted by two pilot vehicles and a uniformed police motorcycle escort. The load, a demethanizer tower, was 12 feet wide, 116 feet long, and 91,000 pounds.[5]<br></p><p>The combination vehicle entered the highway-railroad grade crossing about 1 minute before the collision. The grade crossing was equipped with flashing lights, crossbucks, gates, and bells. The grade crossing’s warning equipment activated and signaled the train’s approach while the combination vehicle was blocking the railroad tracks. Preliminary review of event recorder data from the third locomotive showed that the train ZAILA-18 crew initiated an emergency braking application shortly before the collision, and the train slowed from about 68 mph to about 64 mph before striking the truck. [6]&#160;The maximum authorized speed in the area for railroad traffic was 70 mph.[7]<br></p><p>While on scene, National Transportation Safety Board investigators reviewed radio logs; conducted interviews; reviewed surveillance camera video; made sight-distance observations; examined the track, signals, locomotives, and railcars; examined the highway-railroad grade crossing and the combination vehicle; reviewed Boss Heavy Haul LLC’s policies, procedures, and training programs; and recovered data from the lead locomotive’s event recorder and external- and internal facing image recorders for further review. </p><p>The National Transportation Safety Board’s investigation is ongoing. Future investigative activity will focus on site modeling, accident data analysis, highway-railroad grade crossing safety, locomotive cab survivability and crashworthiness, and carrier requirements for traversing grade crossings while transporting oversize loads. </p><p>Parties to the investigation include the Federal Motor Carrier Safety Administration; the Federal Railroad Administration; the Texas Department of Transportation; the city of Pecos; UP; Boss Heavy Haul LLC; the Brotherhood of Locomotive Engineers and Trainmen; and the International Association of Sheet Metal, Air, Rail and Transportation Workers.<br></p><hr /><p>​&#160;[1]&#160;At the time of this report, the city of Pecos had not finalized its estimated damages. </p><p>&#160;[2] An 
   <em>intermodal railcar </em>is designed to carry intermodal shipping containers used in intermodal freight transportation. An intermodal railcar often comprises a pack of multiple smaller well railcars, each carrying one or more shipping containers. Each pack is counted as a single railcar in the consist. </p><p>​&#160;[3] (a) These intermodal containers were offered for shipment with the following hazardous materials as specified in Title 49 
   <em>Code of Federal Regulations</em> Part 172&#58; UN3268, safety devices, electrically initiated, a Class 9 miscellaneous hazardous material; UN3481, lithium-ion batteries, contained in equipment, a Class 9 miscellaneous hazardous material; UN1133 adhesives, containing a flammable liquid, a Class 3 flammable liquid; and UN3171, battery-powered vehicle or battery-powered equipment, a Class 9 miscellaneous hazardous material. (b) The derailed equipment included one of these shipping containers. 
   <br></p><p>&#160;[4] The Texas Department of Transportation authorized this origin and destination; the Cedar Street highway-railroad grade crossing was included within the permit-designated route. </p><p>&#160;[5] A 
   <em>demethanize</em>r tower is a piece of infrastructure used in the oil and gas industries. </p><p>​&#160;[6] An 
   <em>emergency braking application</em> uses the maximum brake force available and is intended to stop the train as quickly as possible. 
   <br></p><p>&#160;[7] Maximum authorized speed was set by UP Toyah Subdivision Sunset Timetable Number 6, effective May 16, 2023.<br></p>",,,,,,,,,,,,,,,,
6,Carolina Coastal Railway Employee Injury,2024-11-19T05:00:00Z,35.942397,-77.798789,Open,,,,,,,,"<p>​​<em>This information is preliminary and subject to change.</em></p><p>On November 19, 2024, about 2&#58;55 p.m. local time, a Carolina Coastal Railway conductor was seriously injured during switching operations on the Nash County Subdivision main track near Rocky Mount, North Carolina.[1] The injured conductor was walking beside two coupled railcars that had been gravity-dropped onto the track when the trailing railcar struck him.[2]&#160;Visibility was clear at the time of the accident. The weather was 70°F with no precipitation.<br></p><p>​The crew involved in the accident comprised an engineer and the conductor. The train consisted of one locomotive and two loaded gondola railcars. 
   <br></p><p>Before the accident, the crew was positioning the railcars to perform a shoving movement.[3]&#160;The injured conductor and the engineer had uncoupled the railcars from the locomotive, set them on the main track for the gravity drop, and moved the locomotive to the siding track. The accident occurred during the gravity drop. At the time of the accident, the engineer was in the locomotive and could not see that the conductor had been injured. As the railcars rolled to a stop, the injured conductor radioed the engineer to call 911. Emergency medical services arrived and transported the injured conductor to a nearby hospital. </p><p>While on scene, National Transportation Safety Board investigators completed interviews; reviewed training programs; conducted an accident reenactment; reviewed Carolina Coastal Railway’s policies and procedures; and examined the track, signals, locomotives, and railcars. </p><p>The National Transportation Safety Board’s investigation is ongoing. Future investigative activity will focus on safety oversight, employee training, and railroad industry procedures for gravity-switching movements. </p><p>Parties to the investigation include the Federal Railroad Administration and Carolina Coastal Railway.<br></p><hr />
  [1] (a) <em>Switching operatio</em><em>ns</em> involve moving railroad equipment from one track to another or to different positions on the same track. (b) The accident occurred between the Pinecrest Road and Hammond Street highway railroad grade crossings.&#160;<div>  [2]&#160;(a) Crewmembers couple equipment by connecting one piece of equipment (such as a railcar) to another. (b) Crewmembers perform a <em>gravity drop</em> by setting railcars at the top of a descending grade and allowing the railcars to roll down the grade. In the area where the accident occurred, the grade descended eastward.</div><div>
  [3]&#160;A <em>shoving movement</em> is the process of pushing railcars or a train from the rear with a locomotive.</div>",,,,,,,,,,,,,,,,
7,BNSF Railway Maintenance-of-Way Employee Fatality,2024-11-04T05:00:00Z,47.701849,-99.214824,Open,,,,,,,,"<p>​<em>This information is preliminary and subject to change.​</em></p><p> 
   <em></em>​On November 04, 2024, about 11&#58;00 a.m. local time, a BNSF Railway (BNSF) maintenance-of-way employee driving a welding truck was struck and killed by BNSF freight train X-PTNNGT2-31A at a private highway-railroad grade crossing at milepost 128.1&#160;near New Rockford, North Dakota.[1]  (See figure.) There was one passenger in the welding truck who was injured, transported to a nearby hospital, and released. BNSF estimated damages to equipment to be about $250,000. At the time of the accident, visibility conditions were daylight but cloudy; the weather was 36°F with no precipitation.​<br></p><p>​The crew of freight train X-PTNNGT2-31A comprised an engineer and a conductor. The train consisted of 2 lead locomotives and 106 empty covered hopper cars.[2]  The train was traveling northwest from Dilworth, Minnesota, to Minot, North Dakota. The track at the accident site was single main track, and the grade crossing was equipped with stop signs but no active warning devices, such as flashing lights or gates. 
   <br></p><p>The maintenance team included two maintenance-of-way employees in the welding truck and a second group of maintenance-of-way employees in other vehicles. Shortly before the accident, the employees in the welding truck were on the south side of the grade crossing waiting for the second group to arrive and establish track protection. As the second group approached the crossing, the employees in the welding truck decided to move to the north side of the grade crossing to prepare to start work. Immediately before the accident, the employees in the welding truck began to back the welding truck over the grade crossing. </p><p>Employees in the second group saw the approaching train and broadcast warnings over their radios in an attempt to alert the driver of the welding truck. The train was traveling about 46 mph when it struck the welding truck on the front-left side. ​</p><p>While on scene, National Transportation Safety Board investigators conducted sight distance observations, examined the track at the accident location and the damaged welding truck, reviewed images from the forward-facing camera of the locomotive and the inward-facing camera of the welding truck, tested the radio in the welding truck, reviewed BNSF safety practices and employee training, and completed interviews.</p><p>The NTSB’s investigation is ongoing. Future investigative activity will focus on BNSF’s safety practices for maintenance of way employees. </p><p>Parties to the investigation include the Federal Railroad Administration; BNSF; the Brotherhood of Locomotive Engineers and Trainmen; the Brotherhood of Maintenance of Way Employes Division; and the International Association of Sheet Metal, Air, Rail and Transportation Workers.[3]<br></p><hr />​ 
<ol><li>A 
      <em>welding truck</em> is similar to a heavy service truck with storage space and hydraulic systems for construction and maintenance equipment. The truck was a hi-rail vehicle, meaning it could operate over both tracks and paved roads.</li><li>​A 
      <em>hopper car</em> is a freight railcar that is used to transport dry bulk commodities such as grain. It has doors on the undersides for easy discharge of cargo.</li><li>​The Brotherhood of Maintenance of Way Employes Division spells employees with one final e.​</li></ol><p></p>",,,,,,,,,,,,,,,,
8,Metropolitan Atlanta Rapid Transit Authority Employee Injury,2024-10-19T04:00:00Z,33.801072,-84.387675,Open,,,,,,,,"<p> 
   <em>​​This information is preliminary and subject to change.</em></p><p>​On October 19, 2024, about 11&#58;14 a.m. local time, northbound Metropolitan Atlanta Rapid Transit Authority (MARTA) train 402 struck an employee who was performing maintenance work on train approach lights about 280 feet north of a tunnel exit in between the Arts Center and Lindbergh Center Stations in Atlanta, Georgia.[1]​ The employee suffered a below-the-knee amputation as a result of the strike. At the time of the accident, visibility conditions were clear; the temperature was 62°F with no precipitation. 
   <br></p><p>The maintenance crew consisted of a watchman and three roadway workers and was tasked with repairing nonfunctional train approach lights. The maintenance crew was using several forms of protection, including inspection clearance, which notifies train operators of maintenance activities, but does not prevent the trains from entering the work area at track speed. The maintenance crew was also using a form of protection called watchman lookout, in which a watchman is assigned who is responsible for warning the maintenance crew of approaching trains. Also, the maintenance crew was using train approach lights that are activated when a train was detected on the track circuit. At the time of the accident, two employees were actively engaged in repairs alongside the watchman lookout. (See figure.) A fourth employee was in the train control room preparing to de-energize a relay to help identify the malfunctioning lights and possible oncoming trains.<br></p><p>​In an interview with National Transportation Safety Board investigators, the watchman said that he was focused on taking apart a light when the train exited the tunnel. In addition, he said that he had presumed that the train alert lights that were activated at the time of the incident were from the testing the fourth worker was performing in the train control room. 
   <br></p><p>While on scene, NTSB investigators inspected equipment, signals and track; performed sight-distance observations; and reviewed inward- and outward-facing image recorders, event recorders, radio communications, and surveillance cameras. The NTSB also reviewed MARTA’s policies and procedures and completed interviews with the train operator and the members of the maintenance crew. </p><p>The NTSB’s investigation is ongoing. Future investigative activity will focus on roadway worker protections, MARTA policies and procedures. </p><p>Parties to the investigation include&#58;</p><p></p><ul><li>the Federal Transit Administration,</li><li>the Georgia Department of Transportation,&#160;</li><li>MARTA, and&#160;</li><li>the Amalgamated Transit Union​​​</li></ul><hr />[1] Event recorder information indicates that the train was operating at a speed of 42 mph at the time of the accident, below the maximum operating speed of 50 mph.​<br>",,,,,,,,,,,,,,,,
9,New Jersey Transit Light Rail Vehicle Collision,2024-10-14T04:00:00Z,40.105831,-74.792506,Open,,,,,,,,"<p> 
   <em>​This information is preliminary and subject to change.</em></p><p>On October 14, 2024, about 6&#58;02 a.m. local time, an Alstom employee operating the southbound New Jersey Transit (NJ Transit) light rail vehicle (LRV) 207 was killed when the LRV struck a tree that had fallen across the tracks of the River Line at milepost 24.53 near Florence in Burlington County, New Jersey.1 (See figure.) LRV 207 was composed of two articulated railcars and had 41 passengers on board in addition to the operator.2 The LRV was travelling at 64 mph through a curve in a wooded area of the River Line from Trenton to Camden when it encountered the fallen tree.3 The operator activated the track brakes and the emergency brakes, causing the LRV to decelerate for about 430 feet before striking the tree. A branch of the tree penetrated through the forward windshield of the cab and fatally struck the operator. The LRV came to a stop about 880 feet past the point of impact. Twenty-three passengers were injured, transported to a nearby hospital for treatment, and released. NJ Transit estimated damages to equipment to be about $194,000. At the time of the accident, visibility conditions were dark with the LRV’s headlights providing the only illumination; the weather was 60°F with no precipitation.<br></p><p>​While on scene, the National Transportation Safety Board inspected LRV 207, examined the track at the accident site, reviewed NJ Transit operating procedures, conducted sight distance observations, secured LRV 207’s event recorder for data retrieval, reviewed video recordings from the outward-facing camera of an LRV that approached the accident site shortly after the collision, and completed interviews. 
   <br></p><p>The National Transportation Safety Board’s investigation is ongoing. Future investigative activity will focus on NJ Transit’s right-of-way maintenance and inspection practices, dispatcher reporting procedures, and the crashworthiness of the LRV’s design. </p><p>Parties to the investigation include&#58;</p><p></p><ul><li>the Federal Transit Administration;&#160;</li><li>the Occupational Safety and Health Administration;&#160;</li><li>the New Jersey Department of Transportation;&#160;</li><li>NJ Transit; Alstom; and&#160;</li><li>the International Association of Sheet Metal, Air, Rail and Transportation Workers.[4]​</li></ul><hr />&#160;[1](a) LRV 207 was a Stadler GTW manufactured by Stadler Rail AG of Switzerland. (b) The River Line is a hybrid rail line that runs from Camden to Trenton along the Delaware River in New Jersey. A light rail transit system owned by NJ Transit and operated and maintained by Alstom runs on the River Line.&#160;<div>[2] Articulated railcars are permanently coupled.&#160;</div><div>[3] According to River Line Timetable No. 8, the maximum authorized speed in the accident area was 65 mph.&#160;</div><div>[4]&#160;The Federal Railroad Administration joined the investigation as a party and participated in on-scene activities but has since chosen to withdraw from the investigation.​<br></div>",,,,,,,,,,,,,,,,
