placard_type,hazmat_class_railstate,hazmat_class_cfr,hazmat_name_cfr,hazmat_name_census,in_railstate,in_cfr,in_census,count_placard_type_railstate
UN1075,2.1,2.1,"Petroleum gases, liquefied or Liquefied petroleum gas","Petroleum gases, liquefied or Liquefied petroleum gas",TRUE,TRUE,TRUE,4921239
UN1202,3,3,"Diesel fuel #OR# Gas oil #OR# Heating oil, light","Diesel fuel #OR# Gas oil #OR# Heating oil, light",TRUE,TRUE,TRUE,2815674
UN1267,3,3,Petroleum crude oil,Petroleum crude oil,TRUE,TRUE,TRUE,854351
UN1987,3,3,"Alcohols, n.o.s.","Alcohols, n.o.s. #OR# Denatured alcohol",TRUE,TRUE,TRUE,712113
UN3257,9,9,"Elevated temperature liquid, n.o.s., at or above 100 C and below its flash point (including molten metals, molten salts, etc.)","Elevated temperature liquid, n.o.s., at or above 100 C and below its flash point (including molten metals, molten salts, etc.)",TRUE,TRUE,TRUE,630673
UN1203,3,3,"Gasoline includes gasoline mixed with ethyl alcohol, with not more than 10% alcohol","Gasoline includes gasoline mixed with ethyl alcohol, with not more than 10% alcohol",TRUE,TRUE,TRUE,533014
UN3082,9,9,"Environmentally hazardous substance, liquid, n.o.s.","Environmentally hazardous substance, liquid, n.o.s. #OR# Hazardous waste, liquid, n.o.s. #OR# Other regulated substances, liquid, n.o.s",TRUE,TRUE,TRUE,529920
UN1824,8,8,Sodium hydroxide solution,Sodium hydroxide solution,TRUE,TRUE,TRUE,504831
UN3475,3,3,"Ethanol and gasoline mixture or Ethanol and motor spirit mixture or Ethanol and petrol mixture, with more than 10% ethanol","Ethanol and gasoline mixture or Ethanol and motor spirit mixture or Ethanol and petrol mixture, with more than 10% ethanol",TRUE,TRUE,TRUE,467508
UN1830,8,8,Sulfuric acid with more than 51 percent acid,Sulfuric acid with more than 51 percent acid,TRUE,TRUE,TRUE,451378
UN1863,3,3,"Fuel, aviation, turbine engine","Fuel, aviation, turbine engine",TRUE,TRUE,TRUE,375646
UN1005,2.2,2.2 #OR# 2.3,"Ammonia, anhydrous #OR# Ammonia, anhydrous","Ammonia, anhydrous",TRUE,TRUE,TRUE,264458
UN3295,3,3,"Hydrocarbons, liquid, n.o.s.","Hydrocarbons, liquid, n.o.s.",TRUE,TRUE,TRUE,230172
UN1993,3,3,"Flammable liquids, n.o.s.","Combustible liquid, n.o.s. #OR# Compounds, cleaning liquid #OR# Compounds, tree killing, liquid or Compounds, weed killing, liquid #OR# Diesel fuel #OR# Flammable liquids, n.o.s. #OR# Fuel oil (No. 1, 2, 4, 5, or 6)",TRUE,TRUE,TRUE,228387
UN1262,3,3,Octanes,Octanes,TRUE,TRUE,TRUE,185252
UN1789,8,8,Hydrochloric acid,Hydrochloric acid,TRUE,TRUE,TRUE,181763
UN1268,3,3,"Petroleum distillates, n.o.s. or Petroleum products, n.o.s.","Petroleum distillates, n.o.s. or Petroleum products, n.o.s.",TRUE,TRUE,TRUE,143626
UN2055,3,3,"Styrene monomer, stabilized","Styrene monomer, stabilized",TRUE,TRUE,TRUE,138121
UN1230,3,3,Methanol,Methanol,TRUE,TRUE,TRUE,134079
UN1017,2.3,2.3,Chlorine,Chlorine,TRUE,TRUE,TRUE,89938
UN2426,5.1,5.1,"Ammonium nitrate, liquid (hot concentrated solution)","Ammonium nitrate, liquid (hot concentrated solution)",TRUE,TRUE,TRUE,69511
UN2187,2.2,2.2,"Carbon dioxide, refrigerated liquid","Carbon dioxide, refrigerated liquid",TRUE,TRUE,TRUE,60934
UN2015,5.1,5.1,"Hydrogen peroxide, stabilized or Hydrogen peroxide aqueous solutions, stabilized with more than 60 percent hydrogen peroxide","Hydrogen peroxide, stabilized or Hydrogen peroxide aqueous solutions, stabilized with more than 60 percent hydrogen peroxide",TRUE,TRUE,TRUE,54089
UN1086,2.1,2.1,"Vinyl chloride, stabilized","Vinyl chloride, stabilized",TRUE,TRUE,TRUE,53855
UN1010,2.1,2.1,"Butadienes, stabilized or Butadienes and Hydrocarbon mixture, stabilized containing more than 40% butadienes","Butadienes, stabilized or Butadienes and Hydrocarbon mixture, stabilized containing more than 40% butadienes",TRUE,TRUE,TRUE,38689
UN1495,5.1,5.1,Sodium chlorate,Sodium chlorate,TRUE,TRUE,TRUE,34970
UN1951,2.2,2.2,"Argon, refrigerated liquid (cryogenic liquid)","Argon, refrigerated liquid (cryogenic liquid)",TRUE,TRUE,TRUE,28103
UN1307,3,3,Xylenes,Xylenes,TRUE,TRUE,TRUE,27734
UN1805,8,8,Phosphoric acid solution,Phosphoric acid solution,TRUE,TRUE,TRUE,22708
UN1814,8,8,"Potassium hydroxide, solution","Potassium hydroxide, solution",TRUE,TRUE,TRUE,22552
UN1170,3,3,Ethanol or Ethyl alcohol or Ethanol solutions or Ethyl alcohol solutions,Ethanol or Ethyl alcohol or Ethanol solutions or Ethyl alcohol solutions,TRUE,TRUE,TRUE,21573
UN3065,3,3,Alcoholic beverages,Alcoholic beverages,TRUE,TRUE,TRUE,20401
UN1265,3,3,Pentanes,Pentanes,TRUE,TRUE,TRUE,19341
UN3077,9,9,"Environmentally hazardous substance, solid, n.o.s.","Environmentally hazardous substance, solid, n.o.s #OR# Hazardous waste, solid, n.o.s. #OR# Other regulated substances, solid, n.o.s",TRUE,TRUE,TRUE,17870
UN1274,3,3,"n-Propanol or Propyl alcohol, normal","n-Propanol or Propyl alcohol, normal",TRUE,TRUE,TRUE,16201
UN1832,8,8,"Sulfuric acid, spent","Sulfuric acid, spent",TRUE,TRUE,TRUE,15810
UN2370,3,3,1-Hexene,1-Hexene,TRUE,TRUE,TRUE,14756
UN2280,8,8,"Hexamethylenediamine, solid","Hexamethylenediamine, solid",TRUE,TRUE,TRUE,14186
UN1942,5.1,5.1,"Ammonium nitrate, with not more than 0.2% combustible substances, including any organic substance calculated as carbon, to the exclusion of any other added substance","Ammonium nitrate, with not more than 0.2% combustible substances, including any organic substance calculated as carbon, to the exclusion of any other added substance",TRUE,TRUE,TRUE,13705
UN1301,3,3,"Vinyl acetate, stabilized","Vinyl acetate, stabilized",TRUE,TRUE,TRUE,13609
UN1760,8,8,"Corrosive liquids, n.o.s","Chemical kit #OR# Compounds, cleaning liquid #OR# Compounds, tree killing, liquid or Compounds, weed killing, liquid #OR# Corrosive liquids, n.o.s #OR# Ferrous chloride, solution",TRUE,TRUE,TRUE,11783
UN1791,8,8,Hypochlorite solutions,Hypochlorite solutions,TRUE,TRUE,TRUE,11011
UN1077,2.1,2.1,"Propylene see also Petroleum gases, liquefied","Propylene see also Petroleum gases, liquefied",TRUE,TRUE,TRUE,10969
UN1114,3,3,Benzene,Benzene,TRUE,TRUE,TRUE,10670
UN1294,3,3,Toluene,Toluene,TRUE,TRUE,TRUE,10634
UN2014,5.1,5.1,"Hydrogen peroxide, aqueous solutions with more than 40 percent but not more than 60 percent hydrogen peroxide (stabilized as necessary) #OR# Hydrogen peroxide, aqueous solutions with not less than 20 percent but not more than 40 percent hydrogen peroxide (stabilized as necessary)","Hydrogen, peroxide, aqueous solutions with more than 40 percent but not more than 60 percent hydrogen peroxide (stabilized as necessary) #OR# Hydrogen peroxide, aqueous solutions with not less than 20 percent but not more than 40 percent hydrogen peroxide (stabilized as necessary)",TRUE,TRUE,TRUE,10068
UN1247,3,3,"Methyl methacrylate monomer, stabilized","Methyl methacrylate monomer, stabilized",TRUE,TRUE,TRUE,9713
UN2922,8,8,"Corrosive liquids, toxic, n.o.s.","Corrosive liquids, toxic, n.o.s",TRUE,TRUE,TRUE,9025
UN2348,3,3,"Butyl acrylates, stabilized","Butyl acrylates, stabilized",TRUE,TRUE,TRUE,8633
UN3256,3,3,"Elevated temperature liquid, flammable, n.o.s., with flash point above 37.8 C, at or above its flash point","Elevated temperature liquid, flammable, n.o.s., with flash point above 37.8 C, at or above its flash point",TRUE,TRUE,TRUE,8448
UN1208,3,3,Hexanes,Hexanes,TRUE,TRUE,TRUE,8350
UN2312,6.1,6.1,"Phenol, molten","Phenol, molten",TRUE,TRUE,TRUE,8145
UN1206,3,3,Heptanes,Heptanes,TRUE,TRUE,TRUE,7845
UN3264,8,8,"Corrosive liquid, acidic, inorganic, n.o.s","Corrosive liquid, acidic, inorganic, n.o.s",TRUE,TRUE,TRUE,7689
UN1079,2.3,2.3,Sulfur dioxide,Sulfur dioxide,TRUE,TRUE,TRUE,7624
