,Title,Accident_x0020_Date,Geolocation_x0020_Latitude,Geolocation_x0020_Longitude,NSTB_x0020_Investigation_x0020_Status,NTSB_x0020_Title,Executive_x0020_Summary,Probable_x0020_Cause,AccidentContent,AccidentCount,AccidentHeader,DisclaimerContent,WhatHappened,WhatWeFound,WhatWeRecommended,IIC,LessonsLearned,Waterway,InvestigativeDetailVideo1,InvestigativeDetailVideo2,InvestigativeDetailVideo3,InvestigativeDetailVideo4,InvestigativeDetailVideo1Title,InvestigativeDetailVideo2Title,InvestigativeDetailVideo3Title,InvestigativeDetailVideo4Title,RelatedSafetyAlert,RelatedRecommendations,RelatedReports
0,"Collision Involving Two New York City Subway Trains on the Williamsburg Bridge in Brooklyn, New York, June 5, 1995",1995-06-05T04:00:00Z,40.712357,-73.968192,Closed,,,,,,,,"<p>​​​About 6&#58; 12 a.m. on June 5, 1995, a New York City Transit (NYCT) southbound J subway train collided with the rear car of a stopped NYCT M subway train. The collision occurred on the Williamsburg Bridge about 16 feet south of signal J2-125 on the Brooklyn Borough side of the Bridge. The operator of the J train was fatally injured in the collision. Sixty-nine people, including two emergency responders, were treated at area hospitals for serious or minor injuries.<br></p>",<p>​​We&#160;determined&#160;that the probable cause of this accident was the failure of the J train operator to comply with the stop indication because he was asleep and the failure of the train to stop within the block because of inadequate braking distance between signals on the Williamsburg Bridge. Contributing to the accident were the New York City Transit's inadequate measures for ensuring employee compliance with proper radio procedures.​</p>,"<p>We made ​​recommendations to the Federal Transit Administration, the American Public Transit Association, and the New York City Transit.​​</p>",,,,,,,,,,,,,,
1,Collision and Derailment of Two Subway Trains Metropolitan Transportation Authority New York City Transit,1995-02-09T05:00:00Z,40.633363,-74.008415,Closed,,,,,,,,"<p>​On February 9, 1995, at 2&#58;39 p.m., a Metropolitan Transportation Authority/New York City Transit (NYCT)1 northbound M line route subway (M) train collided with the rear car of a stopped NYCT B line route subway (B) train in Brooklyn, New York. The 10-car B train in passenger service had departed the Stillwell Avenue station in Brooklyn about 2&#58;20 p.m. en route to 168th Street station in Manhattan, New York. The crew consisted of a train operator and conductor. The conductor stated that the last station stop before the collision was the Fort Hamilton Parkway (Fort Hamilton) station in Brooklyn. The operator stopped the train after departing that station at signal D2-518, which displayed a stop signal because a preceding northbound M train was stopped in the Ninth Avenue station in Brooklyn. The train operator stated that after waiting about 3 minutes, he felt a tremendous impact that threw him toward the window. The conductor stated he had no warning of the impending collision, which occurred on the elevated track about 1,011 feet south of the Ninth Avenue station. (See figure 2.) He assisted the passengers during the train evacuation after the collision along the elevated walkway to the Ninth Avenue station. The crew, an off-duty employee, and 11 of the 150 passengers on the B train as well as the M train operator sustained minor injuries.​<br></p>",<p>​​We&#160;determined&#160;that the probable cause of the rear-end collision between the two subway trains was the inadequate oversight and compliance program of the Metropolitan Transportation Authority/New York City Transit to ensure that train operators comply with the published operating rules. Contributing to the collision was the design modification to the automatic key-by feature of the automatic stop arm that enabled the operator of the M train to pass a stop signal contrary to the published operating rules that require stopping at a red signal unless permission to pass is granted by Rapid Transit Operations.&#160;​</p>,<p>​We&#160;​made recommendations to the Metropolitan Transportation Authority and the&#160;​New York City Transit.<br></p>,,,,,,,,,,,,,,
2,"Rear-End Collision of Atchison, Topeka and Santa Fe Railway Freight Train PBHLA1-10 and Union Pacific Railroad Freight Train CUWLA-10",1994-12-14T05:00:00Z,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,
3,"Employee Injury, Southern Pacific Railroad",1994-09-23T04:00:00Z,34.574408,-118.116987,Closed,,,,,,,,"<p>​​Southern Pacific (SP) maintenance of way track hi-rail vehicle No. TI 200, being operated on the track by a track inspector, struck and seriously injured 2 SP signal department employees at a turnout on the main track. The inspection vehicle was moving 30 MPH on a 5 MPH track. Five signalmen were inspecting the​ location to determine what additional material would be required to electrically interlock the turnout switch, a derailing device, and an electric lock that had been recently installed at that location. The two injured employees were standing adjacent to the main track facing the electric lock, with their backs toward the track. The track inspector stated that he was traveling 30 MPH with the inspection vehicle operating in cruise control. He said he was doing paper work and was not looking where he was going. The signal crew did not have a lookout posted to watch for trains.</p><p>Note&#58; This investigation was published as a summary in RAB-96-03, <a href=""/investigations/AccidentReports/Reports/RAB9603.pdf"">Railroad Accident Briefs - Brief Format of 1994 Accidents</a>.</p>","<p>​​The probable cause of this accident was the failure of the track inspector to observe the track ahead while operating the hi-rail vehicle in excess of the maximum authorized speed and on cruise control, the failure of the signalmen to be alert for approaching equipment, and the failure of the signal department employees to have a lookout posted.​<br></p>",,,,,,,,,,,,,,,
4,Collision of New Jersey Transit Rail Work Train with Passenger Train,1994-09-14T04:00:00Z,40.734791,-74.037072,Closed,,,,,,,,"<p>​​Two New Jersey Transit (NJT) locomotives, designated as work train CWP 8089, collided with the side of a NJT passenger train No. 1052 at a crossover switch. 1052 was moving on the main track, and 8089 was coming out of a yard track. 8089 had intended to move out of a shop area into an interlocking, then reverse direction and move onto another track. 8089 was moving with a restricted signal indication. The conductor and brakeman were in teh forward unit, and the engineer was operating from the rear unit with his view of the signals obstructed. The brakeman then observed the next signal displaying a stop indication and told the conductor. The conductor moved to the brakeman's vantage point to verify the signal because he was anticipating a different route. The conductor said he tried to call the engineer by radio to stop the train, but was unsuccessful. Neither crewmember attempted to activate the emergency brake valve. 8089 passed the stop signal and collided into the side of 1052 at the switch. Two passengers sustained minor injuries.</p><p>Note&#58; This investigation was published as a summary in RAB-96-03, <a href=""/investigations/AccidentReports/Reports/RAB9603.pdf"">Railroad Accident Briefs - Brief Format of 1994 Accidents</a>.</p>",<p>​​The probable cause of this accident was the conductor and brakeman of train CWP 8089 failed to control the movement of their train and failed to stop at the stop signal.​<br></p>,,,,,,,,,,,,,,,
5,Derailment of Burlington Northern Railroad Freight Train,1994-09-07T04:00:00Z,44.289918,-105.296319,Closed,,,,,,,,"<p>​​Burlington Northern (BN) freight train Extra 5113 had a total of 6 locomotive units and 37 cars derail when it ran downgrade in to the Gillette Yard and struck a standing unattended locomotive. 17 cars derailed in the train, and they derailed another 20 cars that were standing on adjacent tracks. The derailed cars also knocked down an overhead pedestrian bridge. A small fire broke out and was extinguished by a local fire company. One crew had left the train to go off duty and thought they had applied the air brakes on the train and locomotives. In reality, they had only applied the brakes on the locomotives and partially applied the brakes on the rest of the train. Also, they had not applied any hand brakes to any of the cars. A new crew then got on the train and was getting it ready to go out on the road. They had been instructed to uncouple the lead locomotive, set it on another track, then go on the road with the train. While making this movement, the brakes released and the train rolled off down the grade.</p><p>Note&#58; This investigation was published as a summary in RAB-96-03, <a href=""/investigations/AccidentReports/Reports/RAB9603.pdf"">Railroad Accident Briefs - Brief Format of 1994 Accidents</a>.</p>​<br>","<p>​​The probable cause of this accident was the failure of the inbound train crewmembers to properly secure the train before they left it unattended, and the failure of the outbound train crewmembers to insure the train was properly secured prior to removing the lead locomotive from the train.<br></p>",,,,,,,,,,,,,,,
6,Derailment of Metro Transit Authority Train,1994-08-15T04:00:00Z,40.64744,-73.996139,Closed,,,,,,,,"<p>​​NYCTA heavy rail subway transit train 09328 had the eighth car of the 10 car train derail north of 9th Avenue station on the West End Line in Brooklyn, NY. Switch 3 on track D3 operated to the reverse position under the moving car which then derailed and struck the curtain wall between tracks D1 and D3. Nine passengers and two employees reported injuries. Multiple ground conditions were found on the main signal and track occupancy circuit in the interlocking area. The interlocking design and installation did not include separate switch detector cut off relays and automatic ground detection or indication. This condition permitted the tower operator to operate the switch while the train was moving over the switch, without the tower operator being aware that the train is still on the switch. The interlocking was installed in 1919 and had mostly original circuitry.</p><p>Note&#58; This investigation was published as a summary in RAB-96-03, <a href=""/investigations/AccidentReports/Reports/RAB9603.pdf"">Railroad Accident Briefs - Brief Format of 1994 Accidents</a>.</p>​<br>","<p>​​The probable cause of this accident was the release of Switch Lever 3 while the train was moving over D-3 Switch, due to the design of the interlocking, which does not include separate switch detector cut-off relays and automatic ground detection or indication.<br></p>",,,,,,,,,,,,,,,
7,"Derailment of Atchison, Topeka, and Santa Fe Railway Freight Train",1994-08-13T04:00:00Z,36.656063,-102.429994,Closed,,,,,,,,"<p>​​Atchison, Topeka and Santa Fe Railroad train extra 5116 East, a loaded coal train, had 34 cars derail while moving 45 MPH on 49 MPH track. A speed restriction had been in effect in the accident area for one year prior to the accident due to irregular cross elevation that resulted due to insufficient ballast. The restriction had been removed 4 days before the derailment, after ballast had been added to the track. Investigation revealed that the amount of ballast in the area was insufficient for the track structure. Track inspectors had not monitored the track conditions during or after the repairs were made. The track bed had collapsed under the weight of the moving train. Many crossties in the area had been marked for replacement due to being defective, but had not been replaced. The track structure had become saturated from rainy weather conditions.</p><p>Note&#58; This investigation was published as a summary in RAB-96-03, <a href=""/investigations/AccidentReports/Reports/RAB9603.pdf"">Railroad Accident Briefs - Brief Format of 1994 Accidents</a>.</p><br>","<p>​​The probable cause of this accident was the track structure collapsed under the moving train due to inadequate ballast, an excessive number of defective crossties, and the inadequate supervision of track repairs and inspections.<br></p>",,,,,,,,,,,,,,,
8,Derailment of Metropolitan Atlanta Rapid Transit Authority Train,1994-08-10T04:00:00Z,33.769917,-84.231444,Closed,,,,,,,,"<p>​​Metropolitan Atlanta Rapid Transit Authority (MART) heavy rail rapid transit train no. 109 had the 2 rear cars derail when the operator backed the train through a damaged switch. The operator had been advised by the dispatcher to proceed under manual control to signal 230, which displayed a stop indication, and wait there for further instructions. The operator proceeded by the stop signal and continued through a switch that was aligned against the train, damaging the switch. The dispatcher then instructed the operator to back up to the signal, without advising her to check the train or switch. As the train reversed direction through the damaged switch, the 2 lead cars derailed. There were 60 passengers on board, and none were injured.</p><p>Note&#58; This investigation was published as a summary in RAB-96-03, <a href=""/investigations/AccidentReports/Reports/RAB9603.pdf"">Railroad Accident Briefs - Brief Format of 1994 Accidents</a>.</p>","<p>​​The probable cause of this accident was the failure of the operator to comply with a stop signal, and the dispatcher instructing the operator to back the train through a damaged switch.​<br></p>",,,,,,,,,,,,,,,
9,Derailment of Amtrak Passenger Train No. 66,1994-08-10T04:00:00Z,41.29302,-72.931834,Closed,,,,,,,,"<p>​​​Amtrak passenger train no. 66, moving at 10 MPH on the No. 8 station track derailed the lead axle of the rear truck on the rear car of the train, an empty material handling car (MHC) that carries mail. After departing the station, the engineer performed a running air brake test and after releasing the automatic brake, he experienced a slack run in. Moments later the train brakes went into emergency braking. The rear car was moving through a 10 degree reverse curve between two switches when the wheel climbed the rail, and rode the top of the north rail for approximately 53 feet, before dropping to the outside of the rail.  Investigation and testing of the equipment and track disclosed no anomalies. There were no injuries either to crew members or passengers.</p><p>Note&#58; This investigation was published as a summary in RAB-96-03, <a href=""/investigations/AccidentReports/Reports/RAB9603.pdf"">Railroad Accident Briefs - Brief Format of 1994 Accidents</a>.</p>​<br>",<p>​​The probable cause of this accident was the combination of the run-in after the engineer performed the running brake test and the track geometry caused a wheel on the empty mail car to climb the gauge side of the north rail and derail.​<br></p>,,,,,,,,,,,,,,,
