"sensorId","sensorName","lat","lng","timezone","country","region"
6,"Windermere, BC",50.499,-116.027,"America/Vancouver","Canada","British Columbia"
7,"Heffley, BC",50.8,-120.311,"America/Vancouver","Canada","British Columbia"
8,"Chilliwack, BC",49.16,-121.971,"America/Vancouver","Canada","British Columbia"
9,"Mt. Vernon, WA",48.415,-122.336,"America/Los_Angeles","United States","Washington"
11,"Jaffray, BC",49.371,-115.301,"America/Vancouver","Canada","British Columbia"
12,"Willingdon Jct S, BC",49.262,-122.985,"America/Vancouver","Canada","British Columbia"
13,"Kissick, BC",50.711,-120.416,"America/Vancouver","Canada","British Columbia"
14,"Terrace, BC",54.518,-128.639,"America/Vancouver","Canada","British Columbia"
15,"Dewdney, BC",49.164,-122.196,"America/Vancouver","Canada","British Columbia"
16,"Chase, BC",50.822,-119.687,"America/Vancouver","Canada","British Columbia"
17,"Monte Creek, BC",50.651,-119.953,"America/Vancouver","Canada","British Columbia"
18,"Kamloops, BC OCT S",50.679,-120.324,"America/Vancouver","Canada","British Columbia"
19,"Kamloops, BC OCT C",50.694,-120.338,"America/Vancouver","Canada","British Columbia"
20,"Kamloops, BC OCT N",50.71,-120.345,"America/Vancouver","Canada","British Columbia"
21,"Kamloops, BC W",50.677,-120.336,"America/Vancouver","Canada","British Columbia"
22,"Mann, BC",50.712,-120.363,"America/Vancouver","Canada","British Columbia"
24,"Mission City, BC",49.231,-122.009,"America/Vancouver","Canada","British Columbia"
33,"Gibbons, AB",53.834,-113.327,"America/Edmonton","Canada","Alberta"
34,"Asquith CP, SK",52.135,-107.234,"America/Regina","Canada","Saskatchewan"
35,"Ituna, SK",51.171,-103.499,"America/Regina","Canada","Saskatchewan"
36,"Norton, NB ",45.637,-65.697,"America/Halifax","Canada","New Brunswick"
38,"Kemnay, MB ",49.842,-100.131,"America/Winnipeg","Canada","Manitoba"
39,"Nicomen, BC",49.186,-122.076,"America/Vancouver","Canada","British Columbia"
40,"Moyie Springs, ID",48.726,-116.188,"America/Los_Angeles","United States","Idaho"
43,"Blaine, WA",48.997,-122.753,"America/Los_Angeles","United States","Washington"
44,"Burlington, WA",48.477,-122.324,"America/Los_Angeles","United States","Washington"
46,"Wolverine, BC",54.073,-122.474,"America/Vancouver","Canada","British Columbia"
47,"Stony Plain, AB",53.535,-113.978,"America/Edmonton","Canada","Alberta"
48,"Langham, SK",52.362,-106.964,"America/Regina","Canada","Saskatchewan"
49,"Asquith CN, SK",52.12,-107.216,"America/Regina","Canada","Saskatchewan"
50,"Campbell Park, AB",53.618,-113.565,"America/Edmonton","Canada","Alberta"
51,"Saskatoon, SK",52.143,-106.657,"America/Regina","Canada","Saskatchewan"
53,"Dugald, MB",49.885,-96.764,"America/Winnipeg","Canada","Manitoba"
54,"Birch Ridge, NB",46.403,-65.189,"America/Halifax","Canada","New Brunswick"
55,"Valemount, BC",52.833,-119.257,"America/Vancouver","Canada","British Columbia"
56,"Stellarton, NS",45.535,-62.666,"America/Halifax","Canada","Nova Scotia"
57,"Cochrane, AB",51.195,-114.482,"America/Edmonton","Canada","Alberta"
58,"Rosser, MB",49.991,-97.449,"America/Winnipeg","Canada","Manitoba"
59,"Saint Croix, NB",45.565,-67.426,"America/Halifax","Canada","New Brunswick"
60,"Provost, AB",52.35,-110.274,"America/Edmonton","Canada","Alberta"
61,"Milaty, SK",50.476,-104.426,"America/Regina","Canada","Saskatchewan"
64,"Craven, SK",50.706,-104.811,"America/Regina","Canada","Saskatchewan"
65,"Carman Jct., MB",49.84,-97.308,"America/Winnipeg","Canada","Manitoba"
66,"Diamond, MB",49.837,-97.368,"America/Winnipeg","Canada","Manitoba"
69,"Squamish, BC",49.701,-123.147,"America/Vancouver","Canada","British Columbia"
70,"Fort Fraser, BC",54.059,-124.554,"America/Vancouver","Canada","British Columbia"
71,"Chipman, NB",46.177,-65.878,"America/Halifax","Canada","New Brunswick"
72,"London West, ON",42.978,-81.257,"America/Toronto","Canada","Ontario"
73,"Galt, ON",43.372,-80.288,"America/Toronto","Canada","Ontario"
74,"Letellier, MB",49.136,-97.304,"America/Winnipeg","Canada","Manitoba"
75,"Cainsville, ON",43.144,-80.198,"America/Toronto","Canada","Ontario"
76,"Donnacona, QC",46.684,-71.818,"America/Toronto","Canada","Quebec"
77,"Lac Aux Sables, QC",46.866,-72.387,"America/Toronto","Canada","Quebec"
78,"Perth, ON",44.906,-76.25,"America/Toronto","Canada","Ontario"
79,"Kingston, ON",44.243,-76.611,"America/Toronto","Canada","Ontario"
81,"Brooks, AB",50.564,-111.907,"America/Edmonton","Canada","Alberta"
82,"Uncas, AB",53.464,-112.949,"America/Edmonton","Canada","Alberta"
83,"Keewatin, ON",49.762,-94.572,"America/Winnipeg","Canada","Ontario"
84,"Williams Lake, BC",52.148,-122.173,"America/Vancouver","Canada","British Columbia"
85,"Spruce Grove, AB",53.54,-113.907,"America/Edmonton","Canada","Alberta"
86,"Wilsonvale, QC",45.302,-74.182,"America/Toronto","Canada","Quebec"
87,"Naughton, ON",46.419,-81.144,"America/Toronto","Canada","Ontario"
88,"Porquis, ON",48.741,-80.783,"America/Toronto","Canada","Ontario"
89,"Sault Ste. Marie, ON",46.535,-84.347,"America/Toronto","Canada","Ontario"
90,"Val D'Or, QC",48.109,-77.816,"America/Toronto","Canada","Quebec"
91,"South River, ON",45.84,-79.376,"America/Toronto","Canada","Ontario"
92,"Hanmer, ON",46.651,-80.926,"America/Toronto","Canada","Ontario"
93,"Chelmsford, ON",46.583,-81.187,"America/Toronto","Canada","Ontario"
94,"St Charles, QC",46.783,-70.936,"America/Toronto","Canada","Quebec"
95,"Brampton, ON",43.688,-79.76,"America/Toronto","Canada","Ontario"
96,"Washago, ON",44.748,-79.334,"America/Toronto","Canada","Ontario"
97,"Glenridge, ON",43.141,-79.216,"America/Toronto","Canada","Ontario"
98,"Guelph, ON",43.578,-80.189,"America/Toronto","Canada","Ontario"
99,"Charny, QC",46.718,-71.27,"America/Toronto","Canada","Quebec"
101,"Second Narrows, BC",49.3,-123.025,"America/Vancouver","Canada","British Columbia"
102,"Edmonton Tfr, AB",53.485,-113.491,"America/Edmonton","Canada","Alberta"
108,"Glenton, VT",45.011,-72.587,"America/Toronto","United States","Vermont"
109,"Lorne Park, ON ",43.551,-79.592,"America/Toronto","Canada","Ontario"
110,"Coalhurst, AB",49.745,-112.938,"America/Edmonton","Canada","Alberta"
112,"Dundurn, SK",51.876,-106.511,"America/Regina","Canada","Saskatchewan"
113,"Hay Lakes, AB",53.197,-113.06,"America/Edmonton","Canada","Alberta"
114,"Island Pond, VT",44.82,-71.889,"America/New_York","United States","Vermont"
