"sightingId","trainId","sensorId","detectionTimeUTC","detectionTimeSensorLocal","detectionEndUTC","detectionEndSensorLocal","direction","speedMph","trainType","trainOperator","warnings","issues","lastModified","estGallonageCapacity","estCubicFeetCapacity","estloadLimitTons","estTareWeightTons","estGrossWeightTons","estLengthFeet"
38543,29378,13,"2021-03-08T04:11:02.512Z","2021-03-07T20:11:02.512-08:00[America/Vancouver]",NA,NA,"Eastbound",51.336505021441,"Manifest","CN","[]","[]","2021-03-08T04:11:02.512Z",878100,546525.344827586,14112.3656698206,5177.15329699212,19289.5189668128,9327.93007662835
39535,30143,13,"2021-03-10T05:56:43.348Z","2021-03-09T21:56:43.348-08:00[America/Vancouver]",NA,NA,"Eastbound",51.732285558107,"Manifest","CN","[]","[]","2021-03-10T05:56:43.348Z",703442.6,700588.139393939,15328.1118631048,4973.49700818382,20301.6088712887,9063.04898989899
41235,31153,13,"2021-03-14T03:46:31.184Z","2021-03-13T19:46:31.184-08:00[America/Vancouver]",NA,NA,"Eastbound",55.448667895404,"Manifest","CN","[]","[]","2021-03-14T03:46:31.184Z",3565885.94871795,264447.75,17116.1353451292,7342.06910454978,24458.204449679,11623.8233363858
47177,35105,13,"2021-03-25T17:58:46.260Z","2021-03-25T10:58:46.26-07:00[America/Vancouver]",NA,NA,"Westbound",52.9454483431446,"Manifest","CN","[]","[]","2021-03-25T17:58:46.260Z",2373148.71428571,107480,10062.3555748093,3996.12099185244,14058.4765666617,6253.61243386244
51895,37762,24,"2021-04-03T03:59:07.276Z","2021-04-02T20:59:07.276-07:00[America/Vancouver]",NA,NA,"Eastbound",50.1327915024481,"Manifest","CPRS","[]","[]","2021-04-03T03:59:07.276Z",1591259.70731707,641482.335416667,20222.4699859634,5760.138415773,25982.6084017364,10789.5797129065
56291,40802,13,"2021-04-11T02:45:21.758Z","2021-04-10T19:45:21.758-07:00[America/Vancouver]",NA,NA,"Eastbound",50.995008788056,"Petroleum Unit","CN","[]","[]","2021-04-11T02:45:21.758Z",4944335.92105263,NA,14933.5059070352,7693.17967760884,22626.685584644,10050.5723684211
56964,40740,13,"2021-04-12T09:56:59.443Z","2021-04-12T02:56:59.443-07:00[America/Vancouver]",NA,NA,"Eastbound",51.7923862150598,"Manifest","CN","[{""code"": ""W_MULTIPLE_PASSING_TRAINS"", ""description"": ""DEPRECATED, switch to the 'issues' field.""}]","[""Partial sighting""]","2021-04-12T09:56:59.443Z",2729831.66666667,403599.866666667,16581.5874361994,6535.14898670167,23116.7364229011,10637.0841269841
59066,42815,24,"2021-04-16T00:55:40.905Z","2021-04-15T17:55:40.905-07:00[America/Vancouver]",NA,NA,"Eastbound",50.3292024875796,"Manifest","CPRS","[]","[]","2021-04-16T00:55:40.905Z",1529298.25641026,316538.622222222,11433.1762859591,4005.98874654285,15439.1650325019,6537.31025641026
64378,45629,24,"2021-04-25T15:53:45.875Z","2021-04-25T08:53:45.875-07:00[America/Vancouver]",NA,NA,"Eastbound",50.248135891616,"Manifest","CPRS","[]","[]","2021-04-25T15:53:45.875Z",1297485,343522.606060606,10627.0174523756,3961.02896704274,14588.0464194183,6416.01231060606
65563,46401,24,"2021-04-27T21:17:00.023Z","2021-04-27T14:17:00.023-07:00[America/Vancouver]",NA,NA,"Eastbound",50.829907499584,"Petroleum Unit","CPRS","[]","[]","2021-04-27T21:17:00.023Z",3898448.5046729,9632,12448.6858103719,6131.29838158185,18579.9841919537,8036.18535825544
