"Date & Time","Date","Speed mph","excessSpeed","trainId","Speed Limit","Local Time","Location"
"2024-08-17T02:38:17.418-04:00[America/New_York]",2024-08-17,40.9484887869627,-9.0515112130373,953502,"Operating Within Limits","21:42 PM","East Palestine, OH"
"2024-08-17T09:37:16.76-04:00[America/New_York]",2024-08-17,43.4052126709511,-6.5947873290489,953902,"Operating Within Limits","04:41 AM","East Palestine, OH"
"2024-08-18T01:16:40.3-04:00[America/New_York]",2024-08-18,53.8000341643255,3.8000341643255,955037,"Minor Violations","20:20 PM","East Palestine, OH"
"2024-08-20T05:51:02.087-04:00[America/New_York]",2024-08-20,60.4850886150606,10.4850886150606,958461,"Severe Violations of Safety Codes","00:55 AM","East Palestine, OH"
"2024-08-20T11:58:50.924-04:00[America/New_York]",2024-08-20,41.9819460391163,-8.0180539608837,958897,"Operating Within Limits","07:02 AM","East Palestine, OH"
"2024-08-20T15:30:54.97-04:00[America/New_York]",2024-08-20,40.7246568030426,-9.2753431969574,959145,"Operating Within Limits","10:34 AM","East Palestine, OH"
"2024-08-22T11:19:09.571-04:00[America/New_York]",2024-08-22,57.639397197486,7.639397197486,962277,"Minor Violations","06:23 AM","East Palestine, OH"
"2024-08-23T06:12:41.058-04:00[America/New_York]",2024-08-23,63.4532098803674,13.4532098803674,963128,"Severe Violations of Safety Codes","01:16 AM","East Palestine, OH"
"2024-08-24T01:30:58.59-04:00[America/New_York]",2024-08-24,56.932549043148,6.932549043148,964110,"Minor Violations","20:34 PM","East Palestine, OH"
"2024-08-24T09:47:13.464-04:00[America/New_York]",2024-08-24,34.5115355262802,-15.4884644737198,964424,"Operating Within Limits","04:51 AM","East Palestine, OH"
"2024-08-24T21:04:52.686-04:00[America/New_York]",2024-08-24,38.4111589216819,-11.5888410783181,964999,"Operating Within Limits","16:08 PM","East Palestine, OH"
"2024-08-26T02:17:07.024-04:00[America/New_York]",2024-08-26,38.7905918304393,-11.2094081695607,966319,"Operating Within Limits","21:21 PM","East Palestine, OH"
"2024-08-26T05:10:02.399-04:00[America/New_York]",2024-08-26,61.0902479892282,11.0902479892282,966525,"Severe Violations of Safety Codes","00:14 AM","East Palestine, OH"
"2024-08-26T08:18:04.625-04:00[America/New_York]",2024-08-26,52.4034449892529,2.4034449892529,966745,"Minor Violations","03:22 AM","East Palestine, OH"
"2024-08-27T01:59:59.975-04:00[America/New_York]",2024-08-27,43.6060243877018,-6.3939756122982,968102,"Operating Within Limits","21:03 PM","East Palestine, OH"
"2024-08-28T05:27:36.078-04:00[America/New_York]",2024-08-28,46.8657477471465,-3.1342522528535,970174,"Operating Within Limits","00:31 AM","East Palestine, OH"
"2024-08-29T16:53:39.054-04:00[America/New_York]",2024-08-29,40.4886196373087,-9.5113803626913,972824,"Operating Within Limits","11:57 AM","East Palestine, OH"
"2024-08-30T01:01:40.918-04:00[America/New_York]",2024-08-30,47.0186019884306,-2.9813980115694,973434,"Operating Within Limits","20:05 PM","East Palestine, OH"
"2024-08-30T06:31:14.805-04:00[America/New_York]",2024-08-30,58.2878105135224,8.2878105135224,973805,"Minor Violations","01:35 AM","East Palestine, OH"
"2024-08-30T09:25:36.242-04:00[America/New_York]",2024-08-30,44.4791674797921,-5.5208325202079,974048,"Operating Within Limits","04:29 AM","East Palestine, OH"
"2024-08-30T09:51:29.23-04:00[America/New_York]",2024-08-30,36.6911815390917,-13.3088184609083,974029,"Operating Within Limits","04:55 AM","East Palestine, OH"
"2024-08-31T01:19:06.157-04:00[America/New_York]",2024-08-31,62.9878314110542,12.9878314110542,975276,"Severe Violations of Safety Codes","20:23 PM","East Palestine, OH"
"2024-08-31T03:22:34.1-04:00[America/New_York]",2024-08-31,49.6613121360956,-0.338687863904397,975361,"Operating Within Limits","22:26 PM","East Palestine, OH"
"2024-08-31T07:44:03.419-04:00[America/New_York]",2024-08-31,55.4322803749781,5.4322803749781,975655,"Minor Violations","02:48 AM","East Palestine, OH"
"2024-08-31T11:31:50.119-04:00[America/New_York]",2024-08-31,36.7035574689964,-13.2964425310036,975879,"Operating Within Limits","06:35 AM","East Palestine, OH"
"2024-08-31T17:44:33.732-04:00[America/New_York]",2024-08-31,47.9698813283117,-2.0301186716883,976191,"Operating Within Limits","12:48 PM","East Palestine, OH"
"2024-09-01T02:36:48.26-04:00[America/New_York]",2024-09-01,42.8328494658679,-7.1671505341321,976754,"Operating Within Limits","21:40 PM","East Palestine, OH"
"2024-09-01T17:23:39.422-04:00[America/New_York]",2024-09-01,46.7722497528157,-3.2277502471843,977601,"Operating Within Limits","12:27 PM","East Palestine, OH"
"2024-09-01T23:59:08.091-04:00[America/New_York]",2024-09-01,50.503130555783,0.503130555783002,978046,"Minor Violations","19:03 PM","East Palestine, OH"
"2024-09-02T05:27:10.834-04:00[America/New_York]",2024-09-02,40.5587984701831,-9.4412015298169,978336,"Operating Within Limits","00:31 AM","East Palestine, OH"
"2024-09-03T10:40:48.214-04:00[America/New_York]",2024-09-03,36.7338701380701,-13.2661298619299,980110,"Operating Within Limits","05:44 AM","East Palestine, OH"
"2024-09-03T10:58:45.307-04:00[America/New_York]",2024-09-03,42.122376690178,-7.877623309822,980228,"Operating Within Limits","06:02 AM","East Palestine, OH"
"2024-09-04T08:33:42.827-04:00[America/New_York]",2024-09-04,45.1995653822355,-4.8004346177645,981792,"Operating Within Limits","03:37 AM","East Palestine, OH"
"2024-09-05T12:14:22.281-04:00[America/New_York]",2024-09-05,45.7055262914148,-4.2944737085852,984057,"Operating Within Limits","07:18 AM","East Palestine, OH"
"2024-09-06T10:45:06.639-04:00[America/New_York]",2024-09-06,39.8159380212665,-10.1840619787335,985769,"Operating Within Limits","05:49 AM","East Palestine, OH"
"2024-09-07T02:19:29.785-04:00[America/New_York]",2024-09-07,41.6352011085713,-8.3647988914287,987010,"Operating Within Limits","21:23 PM","East Palestine, OH"
"2024-09-07T04:11:18.775-04:00[America/New_York]",2024-09-07,57.7038744459742,7.7038744459742,987158,"Minor Violations","23:15 PM","East Palestine, OH"
"2024-09-07T08:06:14.933-04:00[America/New_York]",2024-09-07,55.5094137328608,5.5094137328608,987392,"Minor Violations","03:10 AM","East Palestine, OH"
"2024-09-07T18:57:52.335-04:00[America/New_York]",2024-09-07,50.3787291599229,0.378729159922898,988070,"Minor Violations","14:01 PM","East Palestine, OH"
