"","placardType","Hazardous Material","Train Sightings","Total Cars"
"1","UN1075","Petroleum gases, liquefied or Liquefied petroleum gas",72,2403
"2","UN3257","Elevated temperature liquid, n.o.s., at or above 100 C and below its flash point (including molten metals, molten salts, etc.)",35,635
"3","UN1987","Alcohols, n.o.s.",32,1375
"4","UN1993","Flammable liquids, n.o.s.",25,403
"5","UN1824","Sodium hydroxide solution",23,63
"6","UN1267","Petroleum crude oil",21,68
"7","UN3082","Environmentally hazardous substance, liquid, n.o.s.",20,128
"8","UN1789","Hydrochloric acid",19,63
"9","UN1202","Diesel fuel #OR# Gas oil #OR# Heating oil, light",18,137
"10","UN1268","Petroleum distillates, n.o.s. or Petroleum products, n.o.s.",17,56
